idAAv,titre,createur,note,explication
894,Samoure,Grier Stagge,8,
368,Four Adventures of Reinette and Mirabelle (4 aventures de Reinette et Mirabelle),Sandy Lorinez,8,
101,Innocent Lies,Emelyne Vayro,1,
648,Howling IV: The Original Nightmare,Timothea Kill,0,
636,Sprung,Halie Gheorghescu,3,
951,"Rocket, The (a.k.a. Maurice Richard)",Ramsey McGahern,10,
239,Chapter Two,Emilee Fibbings,5,Pourrait être amélioré.
970,"Hunchback of Notre Dame, The",Nona Smiths,7,Correct mais sans plus.
350,"Mission, The (Cheung fo)",Fee Aulton,0,
379,"Mark, The",Westleigh Haldane,7,
491,Corto Maltese: The Guilded House of Samarkand (La maison dorée de Samarkand),Domeniga Burnsides,8,
183,"Lords of Flatbush, The",Claretta Darkins,0,
21,Lady for a Day,Brig Seivertsen,7,
162,In a World...,Carroll Stiebler,6,
841,My Father and My Son (Babam ve oglum),Gabriele Antusch,3,
892,Crooks in Clover (a.k.a. Monsieur Gangster) (Les tontons flingueurs),Johny Granger,8,
745,Initial D (Tau man ji D),Consuelo Deason,6,
321,Blood into Wine,Randi Pimer,5,
304,Getting Away With Murder,Nell Veysey,6,
665,Bagdad Cafe (Out of Rosenheim),Renie Ridder,5,
796,Thomas Jefferson,Renaldo Degoix,7,
32,"Getting Go, the Go Doc Project",Ashleigh Atteridge,1,
546,Executive Target,Conant Matfin,2,
1063,Redbelt,Gaven Sentance,0,
215,In Custody,Orsa Arch,10,
108,Baggage Claim,Carmella Straniero,7,
613,Premature,Sawyer Renzo,5,
102,Stay Hungry,Donelle Skullet,10,
199,"Road Warrior, The (Mad Max 2)",Fey Lurriman,8,
438,Evil Dead,Sheelagh Ainsley,8,Correct mais sans plus.
734,Beautiful Girl,Lee Donnelly,1,
208,Feast of July,Kamilah Millier,8,
585,Enid Is Sleeping,Elbert Gland,9,
475,Shoppen ,Shelley Ziemke,6,
1062,Springfield Rifle,Lewes McGarrity,10,
190,Condition Red (Beyond the Law),Horst Newhouse,6,
696,Lost in Space,Janeen Aleksich,1,
231,Deadly Advice,Artie Kramer,7,Assez décevant.
261,"Call of the Wild, The",Ianthe Filmer,0,
564,Yellow,Ernestus Westbrook,2,
512,Thousands Cheer,Eugen Hinrich,6,
201,Force 10 from Navarone,Jobye Ciccottini,8,
106,Free Birds,Hattie Brodie,7,
507,Miss Sadie Thompson,Bruno Stothert,5,
85,Tell Them Who You Are,Karolina Gotliffe,10,
29,"Insider, The",Mannie Fleetham,7,
238,"Girls, Les",Bel Kimblin,8,
1043,"Last Run, The",Towny Oppery,5,
717,Malcolm X,Ashly Gate,0,
495,Jim Jefferies: BARE,Isidor O'Hogertie,0,
806,Possessed (Besat),Hamel Rootham,0,Correct mais sans plus.
136,"Lords of Flatbush, The",Claretta Darkins,1,
481,Turning Tide (En solitaire),Quentin Flores,6,
704,Don Juan,Robbi Rangell,0,
246,Picnic at Hanging Rock,Pippo Jewett,0,
1015,Stand-In,Aldwin Verlander,9,
1061,"St. Francisville Experiment, The",Markus Phebee,10,
810,Mr. Freedom,Saundra Panter,8,
903,Deathstalker II,Nannette Marzelle,4,
615,Where Do We Go Now?,Shelbi Pauleit,10,
139,My Cousin Rachel,Alana Ruffli,10,Correct mais sans plus.
1057,Tyler Perry's Why Did I Get Married?,Con Clayson,4,
1070,"Boy and His Dog, A",Zenia Crooke,2,Peu convaincant.
455,"Secret Policeman's Other Ball, The",Ivory Hibbart,0,
349,"Cherry Orchard, The (Sakura no sono)",Flossie Kilbane,4,
1014,Downeast,Anstice Orkney,3,
1017,Like Mike 2: Streetball,Fidelity Vescovo,0,
257,Brainscan,Duffy Burbidge,5,
1019,Soundbreaker ,Aubrette Paulat,0,
293,Midway,Noll Berrane,8,Excellent travail de création.
986,Cheerful Weather for the Wedding,Ellette Dowyer,9,
681,"Interview, The",Kellby Keely,7,
432,Watermark,Tomi Robbings,1,
244,"Bobby Jones, Stroke of Genius",Glenn Savins,7,
1060,"Man, Woman and the Wall (Kikareta onna no mirareta yoru)",Teressa Seamarke,4,
589,Panic,Alina Bang,1,
612,On Our Merry Way,Meghan Bampkin,7,
560,Annie Get Your Gun,Temple McCloud,10,
715,Crockdale,Tremayne Quye,6,Excellent travail de création.
389,Welcome to the Space Show (Uchû shô e yôkoso),Jarrad Boys,2,
474,"Social Network, The",Rip Kings,4,Pourrait être amélioré.
210,"Alarmist, The (a.k.a. Life During Wartime)",Inga Andrieu,0,
730,"Letter to Elia, A",Henrik Ricarde,5,
190,"Great Train Robbery, The (a.k.a. First Great Train Robbery, The)",Thibaut Gosneye,1,
960,Judge Priest,Lorena Richfield,9,
920,"Thing Called Love, The",Sybille West,7,
556,Sound of Noise,Tori Stitwell,10,
191,One of Our Aircraft Is Missing,Laural Crangle,8,
749,Higher and Higher,Consuela Lound,10,
283,Beer Wars,Lanie Custance,8,
652,Blood Work,Sascha Tolerton,9,
268,Territories ,Klement Jindacek,10,
96,Resurrection,Loella Crowdace,5,
836,"Love, Wedding, Marriage",Dario Culvey,9,
969,How I Killed My Father (a.k.a. My Father and I) (Comment j'ai tué mon Père),Maddy O'Dunniom,0,Excellent travail de création.
270,At First Sight,Katya Hattrick,5,
157,"Silent Night, Deadly Night 5: The Toy Maker",Erwin Chasen,9,
542,El Lobo,Felizio Domenichelli,8,
477,Promise of the Flesh (Yukcheui yaksok),Hagan Swateridge,10,
7,"Age of the Earth, The (A Idade da Terra)",Adi Trollope,4,
510,Chuck Norris vs Communism,Birgit Doylend,2,
842,Baggage Claim,Carmella Straniero,4,
310,"Big Tease, The",Pavla Jarratt,3,Très satisfait du contenu.
616,Atlantis: The Lost Empire,Patti Heibl,7,
938,Alpha and Omega 3: The Great Wolf Games,Arabella Corrao,5,
885,Shades of Fern (Stín kapradiny),Payton Cliffe,8,
243,Bait,Sally Vandenhoff,8,Correct mais sans plus.
539,"Ramen Girl, The",Carolus Le Floch,5,
813,"Zombie Lake (Lac des morts vivants, Le) (Zombies Lake) (Lake of the Living Dead, The)",Juliet Laborda,9,
693,Fun with Dick and Jane,Monti Baline,7,
533,Taqwacore: The Birth of Punk Islam,Scarlet Elsmore,6,
1045,Beginning of the End,Christian Girardi,5,
520,Mystery Science Theater 3000: The Movie,Madelin Wharin,5,
253,Bambou,Kristen Joost,7,
281,"King in New York, A",Ilsa Choldcroft,3,
640,"Perfect Couple, A",Lucio Ashton,5,
486,Life During Wartime,Athene Tucsell,7,
331,Project X,Peder Bonnin,8,
611,Wilde,Edouard Giacaponi,3,
307,Of Freaks and Men (Pro urodov i lyudey),Fredra Thorold,3,
35,"Spy Who Came in from the Cold, The",Bartholomeus Monkley,3,Correct mais sans plus.
435,Full Body Massage,Wilek Cansdell,10,
557,El Niño,Chastity Mutton,8,
480,"Hatful of Rain, A",Giuditta Alessandrelli,9,Assez décevant.
443,"Curse of the Cat People, The",Ximenez Iddens,9,
627,The Princess of Egypt,Megan Impett,7,
468,Interrogation (Przesluchanie),Christy Woodwin,4,
664,Can-Can,Darren Saffran,10,
166,Malice,Desdemona Ogilvy,0,
328,Blue Spring (Aoi haru),Cassondra Ough,4,Peu convaincant.
886,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Sanders Guyver,4,
59,"Ron Clark Story, The",Corrine Vargas,7,Correct mais sans plus.
123,"Education of Charlie Banks, The",Helaina Agent,5,
530,Nightmare Man,Stern Costy,1,Recommande vivement.
77,Alice in Wonderland,Anne-marie O'Loghlen,10,
193,"Billy Blazes, Esq.",Ursa Nuscha,1,Excellent travail de création.
443,Leaving Normal,Willabella Capnor,10,
817,Jim Norton: Please Be Offended,Rafaellle Goodrum,5,
427,Dream Man,Zsazsa Hintzer,3,
342,Mad Max,Andie Arndell,7,
989,Jönssonligan får guldfeber,Briney Caron,2,Très satisfait du contenu.
603,"Bright Lights, Big City",Chaim Vouls,8,
19,Soul Men,Marnia Keyhoe,4,
981,Very Good Girls,Annetta Durnall,9,
519,Into Great Silence (Die große Stille),Ashlen Goodhew,5,Excellent travail de création.
923,I.O.U.S.A. (a.k.a. IOUSA),Selie Warrillow,3,
708,Turbulence,Marylou Barby,8,
692,Ballerina (La mort du cygne),Wat Grent,10,
370,Adam,Lorelei MacAdie,1,
69,"Virginity Hit, The",Stern Gonzales,0,
579,Burning Palms,Merrielle Penhaleurack,9,
567,How the Grinch Stole Christmas!,Laverne Adamsson,8,
27,Beautiful Joe,James Tall,1,
573,Nothing's All Bad,Damaris Baudin,1,
597,"Kite Runner, The",Melony Hammett,4,
610,"Tramp, The (Awaara) (Awara)",Corrina Santello,7,
751,Born on the Fourth of July,Chucho Filde,4,
765,"Fantasticks, The",Forrest Tointon,4,
422,"Truly, Madly, Deeply",Ric Nudds,8,Assez décevant.
351,Project X,Peder Bonnin,1,
155,"Human Condition II, The (Ningen no joken II)",Pavel Lenthall,7,
1004,I'll Never Forget What's'isname,North Rydeard,5,Très satisfait du contenu.
477,Left Behind: The Movie,Inna Quilter,6,
928,No Nukes,Darell Hehir,6,
263,Tin Toy,Arabela Sperling,7,
558,Gypsy 83,Bendite Marcum,7,
577,Apnea (Apnoia),Aimil Saladino,4,
477,"Subject Was Roses, The",Alard Woodroof,10,
348,The Third Half,Hilton Whysall,7,
256,Choices,Maryjane Stronge,9,
279,McKenna Shoots for the Stars,Flemming Coyle,4,
216,A Gathering of Eagles,Chrotoem Doble,5,
429,"Gumball Rally, The",Fanchette Seviour,4,
641,Citizen Koch,Johannah Danson,9,
970,Challenge to Lassie,Elwin Bywater,0,
162,"Poker House, The",Cordy Clench,10,
175,And Now a Word from Our Sponsor,Alfie McBayne,0,
332,Thin Ice,Lydon Myderscough,8,
481,"Magnificent Ambersons, The",Rubin Pershouse,8,
726,Project X,Peder Bonnin,3,
171,Chappie,Jorrie Cluitt,4,
1006,"N Word, The",Derrik Dransfield,7,
549,Killing Auntie (Zabicie ciotki),Ellwood Forsythe,0,Super intéressant.
690,"Witching and Bitching (Brujas de Zugarramurdi, Las)",Benetta Mariel,9,Correct mais sans plus.
176,Shooter,Joachim Shapter,10,
500,"Unknown, The (a.k.a. Alonzo the Armless)",Justino Pether,5,
666,"I Am My Films - A Portrait of Werner Herzog (Was ich bin, sind meine Filme)",Al Ubach,7,
167,"Education, An",Yolanthe Pellissier,8,
155,Hi Diddle Diddle,Betsey Kull,6,Excellent travail de création.
735,Zero Charisma,Ruthie de Banke,7,
879,"Hunter, The",Melisa McKevany,1,
965,A Night at the Movies: The Horrors of Stephen King,Reyna Phittiplace,1,
578,"Quarry, The",Livvyy Ledur,2,
732,"Descendants, The",Mariele Mann,1,
603,Jason X,Martin Toye,9,
147,Stand-In,Aldwin Verlander,7,
337,Night Terrors,Fernande Kelemen,5,Correct mais sans plus.
326,Cat People,Reeva Kender,2,
996,Jimi Hendrix,Trumann O' Mahony,0,Super intéressant.
991,Brainscan,Duffy Burbidge,5,
162,"Land, The (Al-ard)",Vincenty Wybourne,9,Excellent travail de création.
251,Spasmo,Sonni Nucator,7,
560,Like Mike 2: Streetball,Fidelity Vescovo,1,
878,Canon,Myrna Dongate,4,
685,What's the Matter with Helen?,Erin Favill,4,
545,Super 8 Stories,Frankie Bricham,4,
266,"Case of the Grinning Cat, The (Chats perchés)",Shay Dilland,4,Super intéressant.
345,Permanent Record,Alonso Penhallurick,4,
179,Drive Angry,Andris Frugier,1,Excellent travail de création.
783,I Am,Courtney McPhater,0,
1065,Cesar Chavez,Christoper Simioni,5,Très satisfait du contenu.
534,"Beautiful Person, The (La belle personne)",Dinnie Brandassi,4,
1068,Nuns on the Run,Robenia Scripture,8,
928,Dangerous Liaisons,Melba Scullin,1,Assez décevant.
621,"Rendezvous in Paris (Rendez-vous de Paris, Les)",Brigid Stanmore,8,
816,"King in New York, A",Ilsa Choldcroft,0,
559,"Hen, his wife",Aloysius Ferronel,10,A revoir.
1051,It's a Great Feeling,Lorry Crossgrove,8,
