isAS,pseudo,nb_abonne,type_contenu
525,sdracksford0,531245,Rap français
200,tmorde1,692788,Twitch
271,kpool2,844728,NBA
373,tsheddan3,866121,Crypto
424,jfiridolfi4,611199,NBA
28,gjacquet5,977532,Prime Video
212,abramer6,954540,Cinéma
397,nmcsporon7,704306,Crypto
34,jvell8,856228,Partis politiques
374,ccollyns9,779231,Influenceurs
420,mclemmitta,93528,Jazz
343,tpocknellb,30555,Anime
425,rdunckleyc,251970,Twitch
241,btolld,323061,Communauté noire
320,tbrattelle,809266,Illustration
325,kwebbenf,546529,Dev Twitter
374,ttwinbourneg,353105,Zemmouriens
343,btarpeyh,362643,Rock
375,mbalharryi,347122,The Office
475,hkrolmanj,517170,PSG
361,ccadyk,529743,Jazz
544,jbolwelll,585630,Woke Twitter
221,cragatem,682543,Écologie
238,brehnn,896216,Woke Twitter
431,kklewio,330281,HBO
180,kstranksp,931268,Streetwear
265,levertonq,260644,Aya Nakamura
291,dbrientr,962690,Fact-checking
544,cparrs,216985,Aya Nakamura
176,koglassanet,18600,Mode
193,tchattenu,498816,Euphoria
73,ohammelbergv,73226,Féminisme
461,akerridgew,558740,Humour
535,sleaveyx,408969,Manga
468,cilewiczy,855868,Rock
393,ntoulsonz,553133,Manga
78,styrer10,570015,HBO
244,glyles11,143528,Web3
8,kizakoff12,976634,Rap français
441,dpaddon13,876636,Euphoria
97,mbohlingolsen14,610861,PSG
500,rdinis15,305411,Électro
235,gbenedite16,181497,Information
386,jnormavell17,437069,Streetwear
274,mlittrick18,802347,Travis Scott
110,gattridge19,232539,Rock
409,lgreggs1a,781556,Real Madrid
305,cdarnbrook1b,139483,Information
444,fduval1c,785240,Cinéma
494,whandrik1d,55680,Crypto
170,dschwand1e,951741,Twitch
442,whugonnet1f,287164,Netflix
459,kpressey1g,84063,Programmation
301,msysland1h,681361,Géopolitique
110,rskentelbery1i,875819,OM
54,jdyment1j,78507,Diaspora africaine
523,mdyball1k,334884,Web3
333,tcarress1l,160543,Art
376,hhanster1m,548691,Diaspora africaine
228,mwalczak1n,674572,K-pop
240,jzink1o,631455,Shitpost
496,cbiggin1p,199957,Partis politiques
443,adummer1q,696391,Technologie
521,ishorte1r,533841,Anime
352,mmellonby1s,462395,Philosophie
335,ckyston1t,957897,Photographie
44,lbroadberrie1u,653527,Histoire
349,dblackater1v,539674,Programmation
189,teayres1w,104935,Information
373,challworth1x,961493,The Office
140,mwards1y,72230,Cinéma
447,cjirick1z,248091,Web3
499,mcormode20,336036,Web3
53,cchaise21,759528,IA
346,ecoath22,390593,Prime Video
522,kkeedwell23,227446,Prime Video
94,salldre24,73877,Philosophie
55,saicken25,873156,Cinéma
263,igush26,870085,Histoire
548,nscholard27,966836,Fact-checking
444,foda28,923435,Fact-checking
87,swozencraft29,651008,Streetwear
503,bboothe2a,640006,Histoire
447,cohrt2b,827917,Anime
439,lkarlmann2c,860660,Politique
467,klindop2d,289789,Philosophie
537,stoller2e,434350,Illustration
16,ccullotey2f,400760,BTS
116,jmcvitty2g,187598,Écologie
440,mmacglory2h,511441,Tatouage
282,adressel2i,70818,Aya Nakamura
409,cgiaomozzo2j,914954,Zemmouriens
335,dwrightim2k,255330,Influenceurs
140,lcomellini2l,770512,Photographie
116,balhirsi2m,52867,Activisme
364,tpitherick2n,832386,OM
30,osiddaley2o,533691,Twitch
400,omatuszyk2p,210397,Cinéma
37,aclague2q,678912,Rap français
131,dmaccague2r,106333,Anime
35,mbruggen2s,865031,Électro
342,wrockhill2t,283753,BTS
96,zdoughill2u,5097,Netflix
21,jmccreery2v,157407,Shitpost
297,rcarnelley2w,123921,Géopolitique
284,rsabates2x,937541,The Office
524,tbanister2y,602957,OM
51,rlansdown2z,828984,Football
17,lalbany30,652179,Euphoria
338,ahealks31,754911,Euphoria
304,aianson32,401741,Real Madrid
40,hpolin33,890484,Prime Video
207,wsugg34,526974,Culture populaire
17,thobden35,565797,Culture populaire
495,kcomizzoli36,822444,Netflix
531,ptakos37,125399,HBO
404,jpimbley38,606577,Humour
354,dgaskall39,58116,Technologie
465,smcgrae3a,226435,Tatouage
246,calflatt3b,847991,Information
108,kcrossman3c,690633,Culture populaire
202,rlisamore3d,549148,Mode
301,cminshall3e,870354,Humour
116,lwinslet3f,45199,Féminisme
61,cjones3g,355831,YouTube
190,lkuzemka3h,301008,Prime Video
342,fmacphee3i,724255,Électro
91,mklewi3j,301167,Real Madrid
487,gbrickell3k,521770,Technologie
267,ltorn3l,915483,Streetwear
81,qcreffeild3m,614233,BTS
346,mpourvoieur3n,638226,Dev Twitter
386,wvallerine3o,96206,YouTube
415,cstagge3p,772914,Prime Video
87,idurrant3q,695514,Stranger Things
110,ssneddon3r,936260,Philosophie
145,ssimm3s,530136,Influenceurs
42,egrayshan3t,550953,Féminisme
537,amcghee3u,295362,Culture populaire
449,omcvie3v,387358,Twitch
208,jdelaney3w,650319,Manga
315,taustick3x,939793,Féminisme
202,lhousden3y,648975,Communauté noire
136,dyon3z,556650,Travis Scott
537,mvirgo40,64137,Illustration
332,fgravey41,137665,Écologie
413,bharborow42,413218,Aya Nakamura
268,ksilber43,975799,Threads
545,mmecco44,938077,LGBTQ+
178,lholson45,435597,HBO
196,nscading46,141120,Dev Twitter
193,aglasgow47,926595,Activisme
405,gflipek48,871722,Programmation
440,srodman49,699004,Twitch
124,lrioch4a,987447,Crypto
482,awerndley4b,748,Netflix
505,ddowbekin4c,625779,YouTube
513,jlimer4d,542856,Zemmouriens
264,mkremer4e,420628,Manga
490,eloble4f,473788,Culture populaire
525,aclardge4g,661119,Real Madrid
135,jximenez4h,203513,Communauté noire
474,ahartless4i,920474,Rap US
129,mlestor4j,770354,Humour
374,fchampness4k,629253,YouTube
131,dhast4l,603855,Rap US
463,ffeely4m,672277,Électro
86,gluton4n,519496,Netflix
452,achamley4o,646604,YouTube
93,bsterland4p,504603,The Office
276,ltrimmill4q,779903,Streetwear
120,gblofield4r,726058,Manga
236,sfindlow4s,386742,Histoire
244,scaslin4t,319544,Netflix
406,bphayre4u,893462,Elon Musk
239,pchallen4v,28691,OM
494,icroster4w,104236,Photographie
447,tbeckford4x,582879,Illustration
275,lcowans4y,787691,LGBTQ+
141,owynter4z,81326,Streetwear
204,flealle50,715927,Tatouage
284,epancoast51,42037,Activisme
346,bduffree52,942155,LGBTQ+
