idAS,nom_event,date_event,organisateur,genre
22,LG,9/22/2023,Konklab,Comedy
30,Nokia,4/18/2024,Opela,Comedy
27,LG,5/14/2020,Temp,Drama
66,Philips,4/7/2021,Ronstring,Drama|Romance
29,Celkon,3/22/2021,Konklux,Action|Adventure
10,LG,11/9/2020,Konklab,Comedy|Drama|Romance
38,alcatel,7/16/2023,Regrant,Comedy
41,Sharp,7/28/2023,Stim,Crime|Drama|Thriller
56,LG,9/17/2024,Mat Lam Tam,Action|Drama|War
85,Motorola,5/13/2023,Lotstring,Drama
65,Archos,12/22/2024,Zamit,Adventure|Children|Fantasy|Sci-Fi|Thriller
50,Ulefone,3/4/2022,Home Ing,Action
92,Sony,4/26/2025,Gembucket,Comedy|Drama
12,NEC,2/21/2025,Trippledex,Drama
71,Sendo,9/12/2023,Bitchip,Drama
100,Samsung,3/13/2024,Sonsing,Sci-Fi|Thriller
5,Samsung,8/28/2024,Toughjoyfax,Comedy|Crime|Drama
89,Samsung,1/9/2024,Toughjoyfax,Comedy|Drama
31,LG,7/10/2024,Domainer,Crime|Drama|Thriller
84,HTC,7/22/2020,Keylex,Horror|Mystery|Thriller
26,Allview,6/12/2023,Tampflex,Drama|War
12,Toshiba,9/14/2021,Alpha,Adventure|Children|Sci-Fi
47,Samsung,8/24/2021,Subin,Action|Adventure|Children|Comedy
74,Sony,11/3/2024,Namfix,Crime|Drama
57,Samsung,6/28/2022,Holdlamis,Drama|War
6,Modu,7/3/2021,Lotstring,Drama|Mystery|Thriller
31,Philips,6/13/2020,Zathin,Comedy|Drama
92,Nokia,2/5/2023,Cookley,Comedy|Romance
94,NIU,9/22/2022,Bigtax,Comedy|Horror|Sci-Fi
49,alcatel,8/31/2024,Konklux,Horror|Mystery|Thriller
77,Samsung,11/20/2024,Konklux,Comedy
81,Yezz,4/7/2022,Sonair,Horror
21,Samsung,4/19/2020,Treeflex,Drama
22,Celkon,1/1/2024,Home Ing,Crime|Drama|Thriller
57,Lava,3/16/2022,Voltsillam,Drama
96,LG,9/9/2023,Asoka,Drama|Fantasy
74,Motorola,6/9/2021,Kanlam,Crime|Drama|Thriller
30,vivo,8/22/2021,Lotstring,Comedy|Drama
31,ZTE,6/2/2022,Sub-Ex,Documentary
65,Unnecto,1/24/2025,Latlux,Drama
58,Apple,5/19/2023,Prodder,Action|Adventure|Fantasy
62,Nokia,6/25/2020,Bytecard,Comedy|Fantasy|Horror|Thriller
95,Micromax,1/17/2021,Redhold,Drama
44,Motorola,6/25/2023,Alpha,Comedy|Horror|Thriller
30,Philips,1/11/2020,Alpha,Comedy|Musical|Romance
24,Bird,2/4/2020,Hatity,Drama|Romance
96,Toshiba,4/8/2025,Treeflex,Documentary
31,Xiaomi,9/10/2024,Voltsillam,Drama|Mystery|Romance|Thriller
96,ZTE,12/5/2023,Subin,Comedy|Drama|Romance
87,Motorola,5/24/2024,Fix San,Drama|Horror|Romance
82,O2,11/8/2024,Domainer,Comedy|Crime|Drama|Romance
30,Qtek,10/27/2021,Veribet,Horror|Sci-Fi|Thriller
65,Prestigio,3/11/2024,Konklux,Comedy|Western
53,Nokia,4/21/2024,Lotstring,Comedy
83,LG,6/15/2021,Subin,Drama
93,Samsung,9/4/2020,Sonsing,Drama|Romance
21,LG,9/7/2023,Flowdesk,Drama|Horror|Mystery|Thriller
85,Plum,3/30/2023,Zamit,Horror
66,alcatel,3/8/2025,Zamit,Drama
62,Vodafone,12/8/2024,Zathin,Documentary
35,Xiaomi,4/14/2025,Bamity,Action|Crime|Drama|Thriller
30,Philips,1/23/2025,Viva,Documentary
73,BlackBerry,5/25/2023,Redhold,Comedy
51,Nokia,1/6/2021,Namfix,Action|Crime|Thriller
26,vivo,1/28/2020,Redhold,Adventure|Children|Comedy|Drama|Fantasy
9,Qtek,4/25/2024,Quo Lux,Crime|Mystery
5,VK,5/2/2023,Y-find,Comedy|Drama
36,ZTE,4/6/2025,Aerified,Documentary
2,Mitsubishi,10/12/2024,Matsoft,Animation|Children|Fantasy
47,NEC,5/11/2021,Bitchip,Adventure|Children|Romance
84,HTC,1/3/2024,Quo Lux,Action|Drama|War
48,HTC,9/5/2024,Flexidy,Action|Adventure|Comedy
85,Motorola,2/17/2024,Fixflex,Animation|Documentary|Drama|War
62,BLU,1/13/2024,Overhold,Drama|Romance
76,Micromax,8/15/2021,Lotlux,Action
100,Motorola,8/24/2020,Cookley,Comedy|Romance
20,Prestigio,8/24/2020,Cardguard,Action|Crime
23,Motorola,5/28/2021,Hatity,Horror
39,HTC,10/1/2022,Voyatouch,Drama
24,Telit,4/16/2020,Gembucket,Comedy|Romance
44,Samsung,4/8/2025,Asoka,Action|Sci-Fi|Thriller
48,LG,12/17/2021,Viva,Comedy|Drama
80,Spice,1/2/2023,Subin,Action|Animation
37,Sony,6/4/2023,Ventosanzap,Action|Adventure|Comedy|Fantasy|Sci-Fi
17,XOLO,2/14/2024,Span,Comedy|Drama|Romance
9,ZTE,3/12/2024,Transcof,Drama
64,ZTE,10/28/2023,Treeflex,Drama|Romance|War
74,Karbonn,3/6/2024,Tin,Documentary
19,LG,7/10/2024,Wrapsafe,Documentary
42,Gionee,5/12/2020,Home Ing,Action|Thriller|War
52,Asus,7/9/2022,Sonair,Comedy|Romance
11,Sagem,11/7/2023,Matsoft,Comedy
74,BLU,3/21/2020,Biodex,Documentary
62,Nokia,4/9/2022,Tres-Zap,Drama
9,Nokia,1/11/2023,Rank,Comedy
78,Allview,4/18/2024,Aerified,Drama|Mystery|Thriller
98,Huawei,6/6/2022,Flexidy,Action|Adventure|Sci-Fi|IMAX
79,LG,8/9/2024,Hatity,Crime|Drama
57,Spice,1/15/2023,Voyatouch,Action|Comedy
75,Maxwest,6/17/2021,Andalax,Comedy
20,i-mobile,8/22/2021,Stronghold,Crime|Drama
37,alcatel,2/26/2023,Fixflex,Horror
67,Archos,3/18/2023,Biodex,Drama
86,Posh,2/15/2025,Cardguard,Documentary
20,Nokia,8/9/2024,Konklab,Documentary
10,Samsung,2/15/2020,Bigtax,Comedy|Thriller
48,Vertu,6/14/2020,Stronghold,Drama
87,Casio,9/26/2023,Biodex,Crime|Drama|Mystery|Thriller
51,Microsoft,10/18/2022,Daltfresh,Action|Horror|Sci-Fi|War
79,Yezz,6/22/2022,Fintone,Crime|Drama
34,BLU,3/18/2025,Voyatouch,Action|Adventure|Animation|Children|Fantasy
90,ZTE,2/3/2020,Zaam-Dox,Crime|Drama
52,Intex,8/16/2023,Konklab,Comedy|Sci-Fi
16,alcatel,2/28/2022,Gembucket,Drama|Sci-Fi
41,Unnecto,12/18/2023,Trippledex,Drama
100,BLU,9/5/2024,Fintone,Comedy
83,Celkon,7/10/2024,Toughjoyfax,Drama
59,verykool,10/14/2020,Subin,Comedy
41,Ulefone,9/12/2020,Tampflex,Comedy
90,Motorola,10/30/2022,Zontrax,Drama|Thriller|War
18,BenQ-Siemens,7/15/2023,Asoka,Horror|Mystery|Thriller
70,XOLO,2/17/2020,Rank,Comedy|Drama
90,Sony,8/17/2020,Voltsillam,Comedy
96,vivo,2/1/2024,Lotstring,Documentary
100,BLU,4/26/2020,Ronstring,Comedy|Musical|Romance
43,LG,8/29/2021,Zathin,Drama|Film-Noir
27,LG,9/15/2021,Domainer,Documentary
98,Tecno,12/19/2021,Solarbreeze,Documentary|Mystery
44,Posh,8/5/2023,Zaam-Dox,Comedy|Crime
44,Celkon,4/20/2023,Rank,Adventure|Documentary
5,Nokia,2/10/2025,Sonsing,Comedy|Western
97,Huawei,7/16/2023,Toughjoyfax,Drama
8,Philips,12/29/2022,Mat Lam Tam,Horror
