idAS,nom_orga,nom_event,genre,nb_abonne
23,Senna-Lax,BLU,Drama,77107
1,Escitalopram,HTC,Western,35015
95,Uramaxin,Gionee,Drama,285635
65,Miracle Pain Cream,O2,Comedy,151957
26,Buprenorphine HCl and Naloxone HCl,Yezz,Comedy,59310
100,Anti-Fungal,Nokia,Comedy,308666
70,Notaflu Lemon Oil,Oppo,Horror|Thriller,56232
22,Risperidone,Samsung,Crime|Mystery|Thriller,435059
40,Intense Care Snail,Motorola,Drama,155410
68,Glycopyrrolate,BenQ,Drama,379949
99,ACETICUM ACIDUM,LG,Action|Crime|Thriller,358995
62,ONDANSETRON HYDROCHLORIDE,Infinix,Comedy|Drama,70362
52,Levocetirizine dihydrochloride,Nokia,Drama,211350
40,Betaxolol,HTC,Drama,60711
93,equaline heartburn relief,Asus,Crime|Drama|Thriller,363971
7,Holiday Treats Antibacterial Foaming Hand Wash,ZTE,Animation|Comedy|Fantasy|Musical|Romance,238827
58,Pharbest Regular Strength Aspirin,Nokia,Action|Adventure|Comedy|Fantasy,135942
26,TRUFFLE EX CLEANSING,Plum,Comedy|Drama|Romance,467819
54,Ketorolac tromethamine,Haier,Action|Sci-Fi,415886
54,Oxymorphone hydrochloride,Samsung,Adventure|Drama|Fantasy,41519
79,Vanilla Perfecting Makeup Broad Spectrum SPF 25,alcatel,Thriller,198092
24,LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,Celkon,Drama|Romance,10868
85,Simvastatin,Samsung,Action|Drama|Thriller,161578
4,Lidocaine,BQ,Comedy|Musical|Romance,262138
76,Gas Relief,Micromax,Western,312535
76,Greasewood,LG,Comedy|Drama|Romance,198841
39,magiX,BLU,Comedy,492275
30,Childrens Multi-Symptom Cold,Telit,Drama|Romance,408282
65,Hemorrhoidal,alcatel,Adventure|Comedy|Musical|Sci-Fi,247169
89,Renagel,Samsung,Horror,214266
18,Diltiazem Hydrochloride,Lava,Adventure|Comedy,333878
46,HurriCaine,Amoi,Drama,168704
40,Captopril,HTC,Comedy|Drama,153252
84,no zit sherlock acne,Nokia,Comedy,263413
90,Jolivette,verykool,Action|Sci-Fi,414779
29,Etodolac,Ulefone,Documentary,461440
55,Dental plus Extra Menta,Oppo,(no genres listed),217807
44,Acebutolol Hydrochloride,Sharp,Drama,404239
26,Ondansetron hydrochloride and dextrose,Motorola,Comedy,320669
94,Claires Fancy Nancy Antibacterial Glamourous Grape,Plum,Documentary,252862
78,Acid Reducer,O2,Action|War|Western,404458
15,Rasuvo,Samsung,Adventure|Animation|Children|Comedy|Fantasy,335941
8,Proactiv,alcatel,Animation|Children|Fantasy|Musical|Romance,41567
5,Neuro II,Sagem,Drama|Thriller,263120
94,Salicylic Acid,Motorola,Comedy,275551
82,Glytone acne cleansing toner,Samsung,Comedy|Romance,304808
67,Carbamazepine,alcatel,Action|Crime|Drama,355991
31,Desipramine Hydrochloride,LG,Crime|Drama,161355
91,Ranitidine Hydrochloride,Meizu,Action|Adventure|Animation|Comedy|Fantasy,269372
82,DulcoGas,alcatel,Comedy|Drama,245046
66,Lovastatin,Allview,Drama,428539
3,Antibacterial Hand Sanitizer,Samsung,Comedy|Drama|Romance|Western,269582
92,SKIN STRONG - SKIN EQUIPMENT,VK,Action|Crime|Drama|Thriller,111133
12,EVEN BETTER MAKEUP,Samsung,Crime|Drama,127345
9,Nitrous Oxide,ZTE,Drama|Romance,280825
75,Ciprofloxacin,Allview,Horror|Thriller,376787
31,Vyvanse,alcatel,Comedy|Drama|Horror,490579
73,OXYGEN,HTC,Animation|Comedy,462602
21,Aveda Active Composition,Energizer,Documentary,394451
32,Lithium Carbonate,Acer,Documentary,135760
69,CORN SMUT,Pantech,Drama,257239
51,Lytensopril,LG,Crime|Horror|Mystery|Romance|Thriller,471436
88,Cefprozil,Sony,Comedy|Drama|Romance,427066
71,Pleo Grif,Nokia,Adventure|Drama,421175
90,Esmenopa,HTC,Comedy|Drama,468109
17,Amantadine Hydrochloride,Infinix,Drama|Film-Noir|Mystery|Thriller,237194
55,Aclovate,Sony,Drama|Fantasy|Romance,194256
34,KleerSight,Realme,Adventure|Animation|Children,112983
83,"butalbital, acetaminophen and caffeine",HTC,Adventure|Sci-Fi,361297
53,Boy Butter,BLU,Comedy|Drama|Romance,206531
53,Azithromycin,vivo,Comedy,320527
38,Allergy/Sinus Headache,Energizer,Animation|Children|Musical|IMAX,296152
88,Ibuprofen,Garmin-Asus,Comedy|Drama|Romance,303585
97,Wounds Recovery,Oppo,Horror,56065
47,Gemcitabine Hydrochloride,Kyocera,Action|Comedy,393494
29,Carisoprodol,Gionee,Crime|Drama|Romance|Thriller,39245
66,"Cold, Flu and Sore Throat",verykool,Action|Comedy|Crime|Drama|War,16556
64,montelukast sodium,NEC,Adventure|Drama|Romance,240544
31,EXTRASHADE Daily Defense Hydrating Sunscreen SPF 30,Energizer,Comedy|Drama|Fantasy,450117
48,LINGERIE DE PEAU INVISIBLE SKIN-FUSION FOUNDATION WITH SUNSCREEN BROAD SPECTRUM SPF 20 31 AMBRE PALE,LG,Documentary,132520
56,Headache Relief,vivo,Adventure|Comedy|Drama,265789
33,Zyprexa,Samsung,Comedy|Drama|Romance,231963
63,CD HydraLife BB Creme Enhancing Sunscreen Moisturizer For Immediate Beauty Luminous Beige Broad Spectrum SPF 30,Wiko,Action|Adventure|Thriller,378347
53,Neoral,Oppo,Comedy,35592
62,Ortho Novum,Siemens,Comedy,128195
16,LBEL COULEUR LUXE AMPLIFIER XP,Celkon,Adventure|Animation|Children,253379
54,Bethanechol Chloride,Samsung,Comedy,66322
38,Today Vaginal Contraceptive,LG,Documentary,251103
48,OREGANO,T-Mobile,Comedy|Drama|Western,338222
48,cough syrup,Samsung,Drama,231725
20,Maalox,Spice,Comedy,353799
36,CVS Pharmacy Childrens GLYCERIN SUPPOSITORIES,LG,Documentary,86918
69,gent-L-tip,LG,Comedy,375168
50,Clobetasol Propionate,vivo,Crime|Drama|Film-Noir,301049
83,LBEL COULEUR LUXE AMPLIFIER XP,Samsung,Drama|Thriller,356069
80,Rowasa,Asus,Animation|Children|Fantasy,266249
76,letrozole,Samsung,Action|Comedy|Crime|Drama,471239
23,Terazosin Hydrochloride,Nokia,Drama,82902
35,Alba Kids Mineral Sunblock SPF 30,Motorola,Comedy|Drama,46982
3,ESSENTIAL SOLUTION HYALURONIC ACID MASK SHEET,Huawei,Documentary,117027
97,Harvest Grape Antibacterial Foaming Hand Wash,alcatel,Comedy|Crime,337739
