idAAc,genre,prix,date_achat
577,enfant,129.99,6/25/2020
637,Santé,10.99,5/9/2024
295,Pilates,129.99,11/30/2020
962,Fitness,39.99,1/1/2024
116,consoles,5.99,11/27/2024
490,Sport d’hiver,69.99,11/14/2021
1241,tablettes,24.99,10/28/2024
543,accessoires,4.99,1/4/2024
504,Éclairage,8.49,6/2/2024
225,Alimentation vegan,49.99,
1179,Montres,5.99,6/18/2024
943,Gaming,9.99,5/29/2023
1209,Santé,3.79,10/15/2020
293,thé,8.99,2/14/2021
395,Alimentation vegan,3.49,1/1/2023
126,Jeux de société,24.99,8/6/2022
317,Mobilier,12.99,7/19/2021
187,enfant,7.49,12/24/2022
1144,Sacs,15.99,4/1/2021
696,vidéo,59.99,9/14/2020
845,Vêtements homme,4.99,
972,Photo,2.49,9/12/2021
931,Vins,2.99,3/31/2024
1093,casques,39.99,12/9/2020
308,Soins de la peau,2.99,11/2/2024
820,Fitness,19.99,10/15/2021
982,Montres,4.49,12/28/2023
799,outils,6.29,8/11/2021
162,Cuisine,1.99,
428,Alimentation vegan,49.99,12/15/2024
965,musculation,4.99,9/13/2020
131,Sports d’équipe,15.99,10/22/2020
1012,bagages,5.49,10/16/2024
9,Literie,79.99,
388,Cuisine,99.99,4/27/2022
614,domotique,89.99,8/2/2024
1019,électroménager,3.79,8/16/2020
447,Vins,2.49,11/9/2021
1131,accessoires,3.49,1/16/2023
234,Vins,12.99,
146,bagages,39.99,5/8/2025
714,Produits capillaires,2.29,9/13/2022
651,accessoires,9.99,5/29/2020
1275,consoles,2.29,4/14/2021
623,Gaming,89.99,4/11/2021
120,Produits bio,9.99,10/19/2021
720,Vêtements bébé,34.99,
181,Sacs,5.99,8/14/2023
1272,Soins de la peau,5.49,
255,outils,49.99,3/16/2024
605,tablettes,3.79,
1012,Objets connectés,2.99,8/3/2024
700,bien-être,3.99,12/28/2023
791,Pilates,59.99,
1033,Décoration intérieure,24.99,
552,course à pied,3.29,12/12/2023
360,Vêtements homme,1.79,5/27/2021
203,Smartphones,2.99,1/28/2021
7,Cyclisme,4.19,1/21/2021
308,casques,5.49,11/5/2022
387,Bricolage,3.99,5/29/2020
1036,Yoga,3.99,10/9/2023
208,Bricolage,59.99,12/3/2023
574,Sacs,4.49,2/3/2021
215,outils,18.99,4/30/2022
790,Cyclisme,34.99,2/18/2025
745,électroménager,1.49,11/29/2021
417,Vins,199.99,2/18/2021
618,Sport d’hiver,12.99,
182,Jouets éducatifs,89.99,6/13/2021
1057,Montres,49.99,9/3/2022
1017,Yoga,5.99,
219,bijoux,17.99,9/25/2024
313,Produits capillaires,4.99,7/19/2024
1254,enfant,1.99,7/1/2020
538,accessoires,3.99,2/27/2024
525,Éclairage,2.99,9/22/2022
780,femme,39.99,
232,Pièces détachées,3.49,7/25/2021
1130,Décoration intérieure,18.99,10/13/2023
240,Running,2.49,
785,Produits capillaires,4.99,2/9/2024
381,enfant,5.49,7/29/2020
231,spiritueux,4.79,12/23/2020
840,outils de jardin,3.79,
652,Parfums,2.29,5/8/2025
877,Entretien,5.99,6/7/2023
871,Santé,4.49,6/9/2020
130,Jardinage,19.99,9/25/2022
257,Bricolage,2.29,8/18/2020
119,bagages,4.49,3/16/2025
810,randonnée,4.19,12/19/2021
296,outils,9.99,1/9/2024
622,Accessoires voiture,49.99,3/15/2023
1090,Accessoires voiture,2.59,3/14/2024
911,thé,3.49,
1087,randonnée,44.99,6/26/2024
559,Chaussures,1.29,4/30/2022
702,Literie,4.99,7/20/2020
1146,Santé,8.99,
522,outils,2.49,
894,Ordinateurs,1.49,12/12/2021
951,domotique,39.99,8/1/2024
521,vidéo,2.29,6/23/2020
387,Puériculture,5.99,
855,nettoyage,34.99,7/15/2021
928,Puériculture,12.99,3/1/2021
982,Vêtements bébé,5.79,9/9/2022
1054,enfant,8.99,
560,nettoyage,39.99,10/5/2021
954,Smartphones,49.99,7/25/2024
845,Audio,19.99,4/21/2021
1030,Jouets éducatifs,249.99,
982,Pièces détachées,3.99,
1124,Lunettes de soleil,14.99,5/10/2022
736,Maquillage,24.99,5/29/2024
1272,accessoires,9.99,9/13/2021
362,Smartphones,2.49,6/1/2020
234,Chaussures,24.99,10/7/2021
183,Audio,19.99,
421,Alimentation vegan,39.99,10/31/2021
1019,course à pied,3.29,7/16/2020
791,Jardinage,4.29,
515,Fitness,59.99,8/5/2023
1225,Montres,1.99,12/15/2020
699,bijoux,24.99,9/3/2020
854,enfant,19.99,
1250,vidéo,109.99,
802,Objets connectés,69.99,
1184,outils,19.99,1/9/2025
70,Running,58.99,2/19/2022
871,Vins,12.99,
486,Soins de la peau,19.99,12/18/2022
154,Mobilier,1.79,
1034,consoles,49.99,8/12/2022
788,Vêtements homme,6.29,3/1/2025
373,Audio,4.99,
364,Parfums,20.99,5/5/2023
744,Puériculture,9.99,1/28/2023
1210,Running,6.49,3/30/2025
518,Vêtements homme,1.99,10/26/2022
453,Objets connectés,99.99,7/18/2024
442,outils,15.99,3/17/2021
450,Yoga,8.99,8/25/2021
415,Chaussures,14.99,12/16/2021
147,Chaussures,45,7/26/2022
483,Sports nautiques,4.99,4/1/2024
46,accessoires,4.29,12/1/2024
276,Puériculture,2.99,4/15/2022
81,chambre,3.79,
170,randonnée,2.79,5/13/2023
702,Bricolage,79.99,1/10/2025
1005,Audio,2.79,6/19/2023
1098,Running,14.99,2/20/2024
134,Gaming,5.99,
1110,Produits bio,99.99,
296,Sacs,2.99,
111,Alimentation vegan,24.99,9/30/2023
844,thé,19.99,10/8/2024
956,enfant,3.29,
1182,Alimentation vegan,64.99,8/30/2024
390,course à pied,8.99,12/3/2022
1273,Pilates,39.99,7/22/2021
507,Parfums,24.99,
421,spiritueux,3.59,12/6/2020
692,course à pied,39.99,12/30/2020
1082,Vins,22.99,12/22/2024
440,Pilates,19.99,8/26/2023
1210,électroménager,49.99,12/15/2024
26,Cyclisme,19.99,12/7/2021
705,Jardinage,14.99,8/13/2024
306,Cuisine,9.99,9/5/2020
1264,Café,129.99,6/8/2023
24,spiritueux,4.49,8/16/2020
730,Sacs,5.49,11/15/2020
1120,Parfums,3.49,
160,Vins,1.99,11/25/2021
1126,Camping,19.99,3/14/2021
243,Pilates,19.99,8/21/2021
1088,bijoux,29.99,
1107,Gaming,9.99,
274,Gaming,15.99,12/9/2024
39,Audio,2.79,6/5/2020
183,Pièces détachées,249.99,6/18/2021
1208,Pièces détachées,159.99,6/17/2023
187,Soins de la peau,19.99,7/2/2024
1216,chambre,29.99,12/6/2024
1151,outils de jardin,0.89,8/12/2024
142,Fitness,4.99,7/16/2021
1075,tablettes,4.29,9/26/2024
1250,Objets connectés,69.99,5/3/2024
981,Produits bio,4.5,
1252,bagages,6.29,
134,domotique,2.99,
679,Pilates,19.99,7/16/2022
1006,Jeux de société,19.99,
914,Chaussures,39.99,8/24/2021
856,Fitness,54.99,9/14/2020
736,Bricolage,129.99,12/25/2024
1211,Sports nautiques,2.49,
870,Parfums,59.99,7/4/2022
1183,bijoux,8.99,1/31/2023
1259,Éclairage,3.79,5/9/2022
398,casques,4.29,11/15/2024
